Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,AccountId
"339","2650","2008-08-04 18:45:47","reconbot","2019-03-07 17:58:21","http://www.roborooter.com","United States","<p>I'm just this guy, you know?</p>
","965","526","21","","","273"
"437","36829","2008-08-05 18:13:45","Patrick McElhaney","2019-03-09 21:43:57","http://patrickmcelhaney.com","Waxhaw, NC, United States","<p>At the stage in my career where I tend to focus more on people than code. I still use Stack Overflow every day, but I'm more likely to be active on Twitter (<a href=""http://www.twitter.com/patrick_mc"" rel=""nofollow noreferrer"">@patrick_mc</a>) or <a href=""http://github.com/pmcelhaney"" rel=""nofollow noreferrer"">GitHub</a>.</p>

<p>As moderator for its first year, I helped get <a href=""http://ux.stackexchange.com"">ux.stackexchange.com</a> off the ground.</p>

<h3>Favorite Books for Programmers</h3>

<ul>
<li><a href=""http://rads.stackoverflow.com/amzn/click/0132350882"" rel=""nofollow noreferrer"">Clean Code</a> by Robert C. Martin</li>
<li><a href=""http://rads.stackoverflow.com/amzn/click/020161622X"" rel=""nofollow noreferrer"">The Pragmatic Programmer</a> by Hunt &amp; Thomas  </li>
<li><a href=""http://rads.stackoverflow.com/amzn/click/0131177052"" rel=""nofollow noreferrer"">Working Effectively With Legacy Code</a> by Michael Feathers</li>
<li><a href=""http://rads.stackoverflow.com/amzn/click/0201485672"" rel=""nofollow noreferrer"">Refactoring</a> by Martin Fowler</li>
<li><a href=""http://rads.stackoverflow.com/amzn/click/0672326140"" rel=""nofollow noreferrer"">The Inmates are Running the Asylum</a> by Alan Cooper</li>
</ul>
","3739","2607","28","","","349"
"1109","114212","2008-08-12 12:16:58","Theo","2019-03-09 20:00:14","http://architecturalatrocities.com","Sweden","<p>Big Data Chef, Cassandra MVP and Director of Technology at Burt</p>
","6715","435","136","https://i.stack.imgur.com/quAxR.jpg","","846"
"1237","43229","2008-08-13 15:23:45","Jacob Mattison","2019-03-08 20:53:10","http://www.linkedin.com/in/jacobmattison","Durham, CT","<p>Like most software engineers, Jacob raises dairy goats and chickens, on a <a href=""http://smallwoodsfarm.net"" rel=""nofollow noreferrer"">small farm</a> in central Connecticut. He has gotten pretty good at milking; it is much like using vi: the key is remembering how to hold your fingers.</p>

<p>Jacob is the inventor of TDD Karaoke, the wildly popular sport in which contestants are given a suite of tests drawn at random from multiple projects, and have 25 minutes to make them all pass.</p>

<p>Jacob's 2009 essay on how to configure a Rails model to support multiple databases was, through a clerical error, shortlisted for the Booker Prize.  You'd be astonished how often this type of thing happens.</p>

<p>Jacob is Senior Software Engineer at Technolutions, Inc., maker of Slate, an application used by many top universities to manage the admissions process. If you've applied to college or graduate school in the United States recently, you've probably used their code.</p>
","2540","1065","32","","","941"
"1734","1045","2008-08-18 11:25:32","peacedog","2019-03-01 19:38:55","http://www.popehat.com","United States","<p>Expected date to reach Grand Master: 2049</p>
","243","400","3","","","1302"
"2291","19415","2008-08-21 14:00:19","Jon Adams","2019-03-09 22:31:29","https://firetiger.net/","Columbus, OH, United States","<p>Developer since 1997. Develop mobile apps and server apps in lots of web technologies as needed: ASP.NET, PHP, NodeJs, Java, CSS, JavaScript, HTML5, Android, iOS, and so on.</p>

<p><a href=""https://twitter.com/Mufasa245"" rel=""nofollow noreferrer"">@Mufasa245</a> <a href=""https://plus.google.com/+JonAdamsFT"" rel=""nofollow noreferrer"">[Google+]</a></p>
","1346","6060","235","","","1700"
"3484","11277","2008-08-28 18:14:05","Heat Miser","2019-03-06 18:08:08","http://about.me/irvinowens","Alameda, CA","<p>I am a writer first, a freakish generalist programmer second, an amateur AI dweeb third, and a gadget nut last.</p>
","870","476","2","","","2502"
"6062","6746","2008-09-12 07:20:39","Nathan","2019-03-08 20:48:30","http://reednj.com","Perth, Australia","","550","2601","505","","","4101"
"6309","846239","2008-09-13 22:22:33","VonC","2019-03-10 01:25:01","http://careers.stackoverflow.com/vonc","France","<ul>
<li><p><img src=""http://i.stack.imgur.com/LJltI.png"" alt=""sys""> <strong><a href=""http://stackoverflow.com/q/645008#645771"">System Configuration Management</a> Administrator</strong> (<a href=""http://stackoverflow.com/q/176858"">ClearCase</a>, <a href=""http://stackoverflow.com/q/81361"">SVN</a>, <a href=""http://stackoverflow.com/q/928646#930495"">Git</a>), defining various <a href=""http://stackoverflow.com/q/216212#216228"">merge workflows</a> between branches.  </p></li>
<li><p><img src=""http://i.stack.imgur.com/wuYDU.png"" alt=""app""> <strong><a href=""http://stackoverflow.com/q/212270#212362"">Development Architect</a></strong>, which involves:</p>

<ul>
<li>tools support around <a href=""http://stackoverflow.com/q/239560#239598"">java</a> <a href=""http://stackoverflow.com/q/198577#198651"">technologies</a>, including <a href=""http://stackoverflow.com/q/237987#238042"">eclipse</a>.</li>
<li>code quality evaluation, including <a href=""http://stackoverflow.com/q/187289#187330"">metrics definitions</a>, and <a href=""http://stackoverflow.com/q/207652#207699"">code static tools</a> for <strong><a href=""http://stackoverflow.com/q/195887#195932"">different populations</a></strong>.</li>
<li>code management (<a href=""http://stackoverflow.com/q/3283334#3283334"">Jira</a>, <a href=""http://stackoverflow.com/q/3078611#3078611"">FishEye/Crucible</a>, <a href=""http://stackoverflow.com/q/2605769#2605769"">Maven</a>, <a href=""http://stackoverflow.com/q/2370860#2370860"">Hudson</a>, <a href=""http://stackoverflow.com/q/3812367#3812367"">Sonar</a>)</li>
</ul></li>
</ul>
","142679","47549","265","","","4243"
"6372","37395","2008-09-14 23:57:36","Nicholas Riley","2019-03-09 04:06:37","https://njr.sabi.net/","Cleveland, OH, USA","<p>Clinical informatics fellow and Web/Mac programmer (Python, C#, Java, Objective-C, ...).</p>
","1585","550","22","","","4283"
