Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,AccountId
"3484","11262","2008-08-28 18:14:05","Heat Miser","2019-03-01 20:07:35","http://about.me/irvinowens","Alameda, CA","<p>I am a writer first, a freakish generalist programmer second, an amateur AI dweeb third, and a gadget nut last.</p>
","868","476","2","","","2502"
"4883","131019","2008-09-06 10:24:59","Readonly","2019-02-16 21:47:38","http://www.google.com","Chicago, Illinois, United States","<p>Readonly</p>
","3368","297","36","","","3385"
"6161","11888","2008-09-12 17:53:07","ctrlShiftBryan","2019-02-22 19:23:07","http://controlshiftblog.com","Ohio","","737","472","20","","","4159"
"25847","41633","2008-10-07 15:19:02","Mark Rogers","2019-03-03 03:33:23","http://www.markdavidrogers.com/","Austin, TX","<p><a href=""http://twitter.com/MarkRogers0"" rel=""nofollow noreferrer"">
<img src=""https://i.stack.imgur.com/0zpzL.png"" alt=""Twitter link"">
</a></p>

<ul>
<li><a href=""https://github.com/m4bwav"" rel=""nofollow noreferrer"">Github user profile</a> </li>
<li><a href=""http://www.nuget.org/profiles/rogersm0/"" rel=""nofollow noreferrer"">Nuget profile</a></li>
<li><a href=""https://www.npmjs.com/~markrogers"" rel=""nofollow noreferrer"">Npm profile</a></li>
</ul>
","4505","2191","377","","","12984"
"34548","11386","2008-11-05 03:56:35","Slee","2019-03-01 20:32:11","","","","1414","349","4","","","16043"
"58743","11010","2009-01-25 06:57:20","Shawn","2019-02-27 10:44:14","https://www.itlr.cc","","","413","101","1","","","23433"
"64313","58439","2009-02-09 20:23:41","cmcginty","2019-03-02 02:49:03","","San Francisco Bay Area, CA, United States","<p>Former Sr. Software Engineer at Box. Interests include Python, Gradle, C, Java, Git, Linux, Embedded. Find me on github <a href=""https://github.com/cmcginty"" rel=""nofollow noreferrer"">https://github.com/cmcginty</a>.</p>
","2409","1246","116","https://i.stack.imgur.com/r5Apm.gif?s=128&g=1","","25114"
"68101","2593","2009-02-18 22:43:51","mainsocial","2015-05-06 19:24:36","http://www.mainsocial.com","Montreal, Canada","<p><a href=""http://mainsocial.com"" rel=""nofollow"">http://mainsocial.com</a></p>
","200","78","1","https://graph.facebook.com/751395611/picture?type=large","","26246"
"68499","13362","2009-02-19 16:31:39","Josh Close","2019-03-03 03:18:48","http://joshclose.net","Minneapolis, MN",".NET Consultant","1654","514","1","","","26353"
"72563","7665","2009-03-01 22:59:46","boj","2018-01-20 00:14:34","http://sxt.hu","Hungary","","502","1124","12","","","27474"
"95592","271133","2009-04-24 16:22:09","Matthew Rankin","2019-03-02 22:00:24","http://webmasters.stackexchange.com/users/1925/","Independence, MO","","8526","2987","14","https://i.stack.imgur.com/utY5u.jpg","","33990"
"121858","4021","2009-06-12 08:48:27","rohitmishra","2018-05-03 19:27:59","http://www.rohitmishra.me","Bangalore, India","<p>Founder at <a href=""http://www.allotrop.com"" rel=""nofollow"">Allotrop</a> </p>
","298","832","1","","","41875"
"135059","985","2009-07-08 16:06:24","biagidp","2019-02-27 22:22:49","","Nashville, TN","","90","277","5","","","45772"
"190623","9646","2009-10-15 13:28:49","Gandalf StormCrow","2017-01-13 18:07:27","","","","1966","402","44","","","64600"
"211662","7074","2009-11-15 22:37:46","user211662","2010-01-27 14:27:26","","","","112","22","0","","","73516"
"224922","32703","2009-12-04 16:51:10","never_had_a_name","2010-10-19 20:23:13","","","","2876","1034","43","","","79263"
"292291","19947","2010-03-12 10:53:07","Jiew Meng","2019-02-27 09:58:54","http://jiewmeng.tumblr.com/","Singapore, Singapore","<p>Web Developer &amp; Computer Science Student</p>

<p>Tools of Trade: PHP, Symfony MVC, Doctrine ORM, HTML, CSS, jQuery/JS</p>

<p>Looking at Python/Google App Engine, C#/WPF/Entity Framework</p>

<p>I hope to develop usable web applications like <a href=""http://www.wunderlist.com/"" rel=""nofollow noreferrer"">Wunderlist</a>, <a href=""http://springpadit.com/"" rel=""nofollow noreferrer"">SpringPad</a> in the future</p>
","4282","740","1","","","110463"
"336019","3540","2010-05-08 05:56:03","Ethan","2019-02-25 23:42:23","http://protovore.com","New York, NY","","163","217","3","https://i.stack.imgur.com/evr7Y.jpg","","134122"
